Table S6. LS-BSR matrix of 9 hemolysin genes screened against Y. pestis genomes										
										
	gi|51594359:c4098111-4097668	gi|51594359:c4098386-4098135	gi|51594359:c4098705-4098388	gi|51594359:c4099343-4098990	gi|51594359:c4101301-4099343	gi|51594359:c4101894-4101394	gi|51594359:c4105136-4101894	gi|51594359:c4108106-4105542	gi|51594359:c4108776-4108387	gi|51594359:c4109594-4108782
YP_Angola	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069213	0.6	0	0	0	0.21	0	0.39	0.26	0	0.5
SRR069214	0.78	0	0	0	0.6	0	0.5	0.57	0	0.5
SRR069215	0.78	0	0	0	0.37	0	0.29	0.31	0	0.35
SRR069216	0.78	0	0	0	0.52	0	0.5	0.39	0	0.5
YP_Antiqua_B42003004	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
YP_Antiqua	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
YP_Antiqua_UG05_0454	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
YP_india_195	0.78	0	0	0	0.39	0	0.5	0.39	0	0.5
YP_Kim10	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
YP_Nepal516	0.6	0	0	0	0.39	0	0.5	0.39	0	0.5
YP_Orientalis_F1991016	0.78	0	0	0	0.39	0	0.5	0.39	0	0.5
YP_Orientalis_IP275	0.78	0	0	0	0.39	0	0.5	0.39	0	0.5
YP_Orientalis_MG05_1020	0.78	0	0	0	0.39	0	0.5	0.39	0	0.5
YP_pestoides_A	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
YP_Pestoides_F	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
YP_CA88_4125	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
YP_Microtus_str_91001	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
